objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
43,204,Doña Ines,0,"D.S Nº 59/1998, modificado D.S Nº 45/2001, establece norma de calidad primaria para  material particulado respirable PM 10. <br />
D.S Nº 179/1991, Plan de Descontaminación Potrerillos. <br />",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=204,2711,03202,5798c0ec-a22d-4923-a286-4c617b92994a,-69.48108122899998,-26.432901235999964,2711
44,75,CAP,0,"D.S Nº 59/1998, modificado D.S Nº 45/2001, establece norma de calidad primaria para  material particulado respirable PM 10. <br />
Resolución Exenta Nº  1889/2006,  SEREMI  Salud   Atacama.  Establece EMRPG para MP 10. <br />
Resolución Exenta Nº 6614/",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=75,2607,03202,5798c0ec-a22d-4923-a286-4c617b92994a,-69.50704525499998,-26.423457350999968,2607
45,201,Intelec,0,"D.S Nº 59/1998, modificado D.S 45/2001, establece norma de calidad primaria para material particulado respirable PM 10. <br />
Resolución Exenta Nº 55/2003, califica ambientalmente proyecto ?Damiana?. <br />
Resolución Exenta Nº  107/1998,  califica am",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=201,2378,03202,5798c0ec-a22d-4923-a286-4c617b92994a,-69.59611689999997,-26.27119871399998,2378
46,76,Cine Inca,0,"D.S Nº 59/1998, modificado por D.S Nº 45/2001, Norma de calidad primaria para material particulado respirable MP10. <br />
Resolución Exenta Nº  107/1998,  califica ambientalmente proyecto ?Campamento Antiguo? <br />
Resolución Exenta Nº 1888/2006, SER",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=76,2298,03202,5798c0ec-a22d-4923-a286-4c617b92994a,-69.62491518999997,-26.244096979999938,2298
47,200,SM8 Freirina,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=200,173,03303,5798c0ec-a22d-4923-a286-4c617b92994a,-71.07950297699995,-28.50415191899998,173
48,199,SM7 Los Loros,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=199,149,03303,5798c0ec-a22d-4923-a286-4c617b92994a,-71.09414638599998,-28.494605883999952,149
49,198,SM6 Parcela Buena Esperanza,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=198,114,03303,5798c0ec-a22d-4923-a286-4c617b92994a,-71.12452331099996,-28.500261112999965,114
50,203,EME M,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=203,51,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.21677522599998,-28.466909138999938,51
51,195,SM3 Compañía de Bomberos Huasco Bajo,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=195,69,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.17606552299998,-28.46845106199993,69
52,194,SM2 Quinta La Rosa,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=194,69,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.17933733599995,-28.46169449599995,69
53,197,SM5 Parcela 5 El Pino,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=197,102,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.14412448099995,-28.481058649999966,102
54,196,SM4 Carretera km 40,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=196,115,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.16526090099995,-28.47789934599996,115
55,193,SM1 Vertedero,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=193,33,03304,5798c0ec-a22d-4923-a286-4c617b92994a,-71.25221303899997,-28.497049467999943,33
